level_0,index,field_id,region,crop,start_sev,end_sbor,yield_dif,yield_plan,yield_fact,curr_t1,curr_t2,curr_t3,curr_t4,40_years_t1,40_years_t2,40_years_t3,40_years_t4,culture,type_by_season,delta_t1,delta_t2,delta_t3
313,809,2023 16.13.13.044.00,Татарстан,Горох,2023-04-15,2023-07-30,1.5599578551707307,2.61,9.81,11.585714285714284,18.482857142857146,19.382857142857144,20.13076923076923,10.42308943089431,16.939166357412223,19.94945036894905,20.045190120385342,Бобовые,Яровая,1.162624854819974,1.543690785444923,-0.5665932260919071
314,810,2023 16.13.16.001.00,Татарстан,Эспарцет,2023-04-15,2023-07-27,0.7347531813924091,1.53,1.66,11.558823529411764,18.35588235294118,18.929411764705883,20.13076923076923,10.26501673840268,16.823794367206983,19.81850078829722,20.045190120385342,Крестцветные,Яровая,1.293806791009084,1.5320879857341971,-0.8890890235913389
315,811,2023 16.13.16.003.00,Татарстан,Эспарцет,2023-04-15,2023-07-27,1.2291435426724875,1.53,3.7,11.558823529411764,18.35588235294118,18.929411764705883,20.13076923076923,10.26501673840268,16.823794367206983,19.81850078829722,20.045190120385342,Крестцветные,Яровая,1.293806791009084,1.5320879857341971,-0.8890890235913389
316,812,2023 16.13.16.004.00,Татарстан,Эспарцет,2023-04-15,2023-07-27,1.2059316688112691,1.53,3.58,11.558823529411764,18.35588235294118,18.929411764705883,20.13076923076923,10.26501673840268,16.823794367206983,19.81850078829722,20.045190120385342,Крестцветные,Яровая,1.293806791009084,1.5320879857341971,-0.8890890235913389
317,813,2023 16.13.16.006.00,Татарстан,Эспарцет,2023-04-15,2023-07-27,1.320447795322304,1.53,4.199999999999999,11.558823529411764,18.35588235294118,18.929411764705883,20.13076923076923,10.26501673840268,16.823794367206983,19.81850078829722,20.045190120385342,Крестцветные,Яровая,1.293806791009084,1.5320879857341971,-0.8890890235913389
318,814,2023 16.13.16.007.00,Татарстан,Эспарцет,2023-04-15,2023-07-27,0.5716808994872654,1.53,1.18,11.558823529411764,18.35588235294118,18.929411764705883,20.13076923076923,10.26501673840268,16.823794367206983,19.81850078829722,20.045190120385342,Крестцветные,Яровая,1.293806791009084,1.5320879857341971,-0.8890890235913389
319,815,2023 16.13.17.040.00,Татарстан,Эспарцет,2023-04-15,2023-07-24,0.6700056519982509,1.53,1.46,11.442424242424243,18.539393939393943,18.433333333333337,19.348,10.097437792559743,16.683986595724733,19.818718095164296,20.031851112734632,Крестцветные,Яровая,1.3449864498644999,1.85540734366921,-1.3853847618309594
320,816,2023 16.13.18.050.00,Татарстан,Люцерна,2023-04-15,2023-08-09,0.0,1.02,0.0,12.220512820512822,18.11282051282051,21.02564102564103,20.86206896551725,10.88788826349802,17.685296783126876,20.1591841798498,20.20318712676837,Бобовые,Яровая,1.3326245570148014,0.4275237296936325,0.8664568457912303
321,817,2023 40.04.06.021.00,Калуга,Люцерна,2023-04-15,2023-08-04,0.22969481480143153,2.13,0.55,11.827027027027029,18.337837837837835,20.108108108108112,20.382142857142863,10.641023950780047,17.371556325055217,19.88888533765305,19.99724777535588,Бобовые,Яровая,1.1860030762469815,0.9662815127826185,0.21922277045506178
322,818,2023 40.10.13.007.00,Калуга,Пшеница,2023-04-15,2023-10-11,0.3319626461152378,5.08,2.0,14.783333333333337,19.61500000000001,14.828333333333337,13.60222222222222,12.94724276314996,19.682519456280808,14.437632896546766,12.92715099846706,Злаковые,Яровая,1.8360905701833765,-0.0675194562807988,0.3907004367865703
323,819,2023 40.23.02.012.00,Калуга,Люцерна,2023-04-15,2023-08-03,0.413277647844958,1.7,0.87,11.827027027027029,18.337837837837835,20.108108108108112,20.34444444444445,10.641023950780047,17.371556325055217,19.88888533765305,19.89732650958316,Бобовые,Яровая,1.1860030762469815,0.9662815127826185,0.21922277045506178
324,820,2023 40.23.02.025.00,Калуга,Вика,2023-04-15,2023-06-16,0.047975831876873806,4.68,0.23,10.923809523809524,14.833333333333334,19.15714285714285,20.16,8.819279907084784,13.61748654352903,17.075506717038802,17.11910536323105,Злаковые,Яровая,2.10452961672474,1.2158467898043046,2.081636140104049
325,821,2023 46.22.01.018.03,Курск,Пшеница,2023-04-15,2023-08-25,2.7456028571547946,5.0,72.87,12.961363636363638,18.87727272727273,20.30227272727273,21.10606060606061,11.442567848648451,18.456277592187185,19.667561650701515,19.488400305267422,Злаковые,Яровая,1.5187957877151863,0.4209951350855441,0.6347110765712145
326,822,2023 46.22.03.019.00,Курск,Пшеница,2023-04-15,2023-09-13,1.6449535453948363,5.2,21.74,13.734000000000004,18.59200000000001,19.044,17.44473684210526,11.96169141412771,19.170987990802136,18.23944442628556,17.20136747004483,Злаковые,Яровая,1.7723085858722936,-0.5789879908021263,0.8045555737144419
327,823,2023 46.28.05.034.00,Курск,Пшеница,2023-04-15,2023-09-03,1.9056832155463692,5.0,28.62,13.16808510638298,18.946808510638306,20.02978723404256,20.08857142857143,11.705328177977067,18.94268281074504,19.289886720440983,19.33052433790628,Злаковые,Яровая,1.4627569284059128,0.004125699893265278,0.7399005136015759
328,824,2023 46.28.11.007.01,Курск,Ячмень,2023-04-15,2023-08-19,2.239435568144303,5.18,43.45,12.87857142857143,18.39523809523809,20.854761904761908,21.225806451612907,11.218383225306908,18.149318801146755,19.9112943303793,19.89267470589997,Злаковые,Яровая,1.6601882032645214,0.24591929409133328,0.9434675743826091
329,825,2023 46.28.11.023.00,Курск,Пшеница,2023-04-15,2023-09-09,2.613006652415316,5.0,63.2,13.510204081632656,18.734693877551027,19.41428571428572,18.42702702702703,11.796549227955106,19.19347431422271,18.5097101388091,18.10200502929529,Злаковые,Яровая,1.71365485367755,-0.458780436671681,0.9045755754766205
330,826,2023 46.28.17.015.09,Курск,Горох,2023-04-15,2023-09-10,1.3487389272856705,3.12,8.9,13.510204081632656,18.734693877551027,19.41428571428572,18.42702702702703,11.796549227955106,19.19347431422271,18.5097101388091,18.10200502929529,Бобовые,Яровая,1.71365485367755,-0.458780436671681,0.9045755754766205
331,828,2023 46.28.17.040.00,Курск,Пшеница,2023-04-15,2023-09-07,1.7927589695611386,5.0,25.03,13.308333333333335,18.914583333333336,19.785416666666663,19.486111111111114,11.760247662074091,19.07009643104963,18.92649786068863,18.822047174418,Злаковые,Яровая,1.5480856712592441,-0.15551309771629462,0.8589188059780319
332,832,2023 62.17.01.025.00,Рязань,Пшеница,2023-04-15,2023-08-12,1.8368799045085247,3.9,20.58,12.4725,18.139999999999997,20.985000000000007,21.023333333333333,10.994837398373985,17.854237534280408,20.095568396491764,20.00764055653024,Злаковые,Яровая,1.4776626016260153,0.2857624657195892,0.8894316035082426
333,833,2023 62.17.01.026.00,Рязань,Пшеница,2023-04-15,2023-08-13,1.9502961209985679,3.9,23.520000000000003,12.4725,18.139999999999997,20.985000000000007,21.023333333333333,10.994837398373985,17.854237534280408,20.095568396491764,20.00764055653024,Злаковые,Яровая,1.4776626016260153,0.2857624657195892,0.8894316035082426
