index,field_id,region,crop,start_sev,end_sbor,yield_dif,yield_plan,yield_fact,curr_t1,curr_t2,curr_t3,40_years_t1,40_years_t2,40_years_t3,culture,type_by_season,delta_t1,delta_t2,delta_t3
5611,2024 62.23.06.074.00,Рязань,Соя,2024-05-04,2024-09-05,0.4668737362368079,2.0,1.19,9.13684210526316,19.312,19.43571428571428,13.158290543431749,18.2694941226784,18.873732068599967,Бобовые,Яровая,-4.021448438168589,1.0425058773216023,0.5619822171143127
5612,2024 16.13.12.041.00,Татарстан,Чечевица,2024-05-05,2024-08-30,2.0579625100027115,2.0,13.659999999999998,9.42777777777778,19.282978723404256,20.303773584905656,13.357238030713638,18.27269124168514,19.417365951567533,Бобовые,Яровая,-3.9294602529358578,1.0102874817191143,0.8864076333381234
5613,2024 16.13.13.031.00,Татарстан,Пшеница,2024-05-05,2024-08-30,0.45366720992604204,2.7,1.55,9.42777777777778,19.282978723404256,20.303773584905656,13.357238030713638,18.27269124168514,19.417365951567533,Злаковые,Яровая,-3.9294602529358578,1.0102874817191143,0.8864076333381234
5614,2024 16.13.18.012.00,Татарстан,Пшеница,2024-05-05,2024-09-14,1.5507096395590318,2.7,10.03,9.815,20.192592592592597,19.325423728813565,13.361839430894308,18.83662102325445,18.068101874824382,Злаковые,Яровая,-3.546839430894309,1.3559715693381449,1.2573218539891826
5615,2024 16.13.19.017.00,Татарстан,Чечевица,2024-05-05,2024-09-08,2.718330510509766,2.0,28.309999999999988,9.815,19.884,19.52807017543859,13.361839430894308,18.65911864936568,18.631974390023917,Бобовые,Яровая,-3.546839430894309,1.2248813506343197,0.8960957854146727
5616,2024 16.13.19.018.00,Татарстан,Чечевица,2024-05-05,2024-09-08,0.35417181372061385,2.0,0.85,9.815,19.884,19.52807017543859,13.361839430894308,18.65911864936568,18.631974390023917,Бобовые,Яровая,-3.546839430894309,1.2248813506343197,0.8960957854146727
5617,2024 16.13.19.030.00,Татарстан,Чечевица,2024-05-05,2024-09-10,1.7164969847275082,2.0,9.13,9.815,19.94901960784313,19.4103448275862,13.361839430894308,18.70554434777601,18.44033816210508,Бобовые,Яровая,-3.546839430894309,1.2434752600671217,0.9700066654811224
5618,2024 22.47.10.007.00,Алтай,Вика,2024-05-05,2024-07-30,1.978584757868153,4.0,24.93,7.585714285714286,17.51764705882353,22.17692307692308,13.145770421989935,16.788648111314,20.19363165727349,Злаковые,Яровая,-5.560056136275649,0.7289989475095311,1.9832914196495928
5622,2024 56.28.08.007.00,Оренбург,Подсолнечник,2024-05-05,2024-10-17,0.5722342518946343,1.8,1.39,10.148,20.95522388059701,15.595945945945942,13.685715447154468,19.486096241733133,13.844155573896549,Астровые,Яровая,-3.5377154471544685,1.4691276388638776,1.7517903720493937
5623,2024 56.28.08.019.00,Оренбург,Подсолнечник,2024-05-05,2024-10-16,2.026685189240525,1.8,11.86,10.148,20.993939393939392,15.786486486486483,13.685715447154468,19.45457244741596,14.068930348671325,Астровые,Яровая,-3.5377154471544685,1.5393669465234332,1.7175561378151585
5626,2024 16.13.18.048.00,Татарстан,Пшеница,2024-05-06,2024-09-17,0.9640221346953449,2.7,4.38,10.11904761904762,20.38703703703704,19.30166666666667,13.657681636340172,18.94096990245095,17.80020894676506,Злаковые,Яровая,-3.5386340172925514,1.446067134586091,1.5014577199016088
5627,2024 22.47.11.025.00,Алтай,Ячмень,2024-05-06,2024-08-04,1.8919716196325864,3.7,20.84,7.957142857142857,17.96216216216216,21.557499999999997,13.306886372435152,17.236312600064704,20.1667334708247,Злаковые,Яровая,-5.349743515292294,0.725849562097455,1.3907665291752984
5628,2024 36.01.20.001.00,Воронеж,Кукуруза,2024-05-06,2024-10-13,1.006914623487401,7.0,12.159999999999998,10.016000000000002,21.0890625,16.479166666666664,13.965672086720865,19.35550101448407,14.50677271816564,Судецветные,Яровая,-3.949672086720863,1.7335614855159314,1.9723939485010238
5629,2024 36.02.03.021.01,Воронеж,Соя,2024-05-06,2024-08-30,1.1842338113686852,2.2,4.99,9.672222222222224,19.30212765957447,20.36538461538461,13.413794790725683,18.345137616126618,19.448266950662592,Бобовые,Яровая,-3.741572568503459,0.9569900434478527,0.9171176647220172
5630,2024 36.02.06.043.00,Воронеж,Кукуруза,2024-05-06,2024-09-28,0.29160294719501756,7.0,2.37,10.50909090909091,20.491525423728817,17.82461538461539,13.861877925597437,19.025187724865912,16.484617993588696,Судецветные,Яровая,-3.352787016506527,1.4663376988629047,1.3399973910266958
5631,2024 36.02.06.049.00,Воронеж,Кукуруза,2024-05-06,2024-09-27,0.36761488397706676,7.0,3.11,10.50909090909091,20.42586206896552,18.10769230769231,13.861877925597437,19.02221577226688,16.676663021731287,Судецветные,Яровая,-3.352787016506527,1.4036462966986427,1.4310292859610243
5632,2024 36.02.19.040.01,Воронеж,Кукуруза,2024-05-06,2024-08-30,0.6683990108707513,9.0,8.56,9.672222222222224,19.30212765957447,20.36538461538461,13.413794790725683,18.345137616126618,19.448266950662592,Судецветные,Яровая,-3.741572568503459,0.9569900434478527,0.9171176647220172
5633,2024 36.02.19.041.00,Воронеж,Кукуруза,2024-05-06,2024-08-30,0.6271260794621514,9.0,7.85,9.672222222222224,19.30212765957447,20.36538461538461,13.413794790725683,18.345137616126618,19.448266950662592,Судецветные,Яровая,-3.741572568503459,0.9569900434478527,0.9171176647220172
5634,2024 36.02.19.068.00,Воронеж,Кукуруза,2024-05-06,2024-08-22,0.5945538392967031,9.0,7.31,9.358823529411763,19.01627906976744,20.19591836734693,13.43029252351347,18.059082803162177,19.602003767506314,Судецветные,Яровая,-4.071468994101707,0.957196266605262,0.5939145998406161
5635,2024 36.11.01.034.00,Воронеж,Кукуруза,2024-05-06,2024-08-28,1.840549633397487,7.5,39.75,9.672222222222224,19.33478260869565,20.274509803921564,13.413794790725683,18.31356319526829,19.572505195896262,Судецветные,Яровая,-3.741572568503459,1.0212194134273602,0.7020046080253017
5636,2024 36.11.01.039.00,Воронеж,Кукуруза,2024-05-06,2024-08-26,1.264126727145683,7.5,19.05,9.358823529411763,19.250000000000004,20.176,13.43029252351347,18.164605966565567,19.510329283554032,Судецветные,Яровая,-4.071468994101707,1.0853940334344365,0.6656707164459661
5637,2024 36.11.06.061.00,Воронеж,Кукуруза,2024-05-06,2024-08-23,1.7812600987913463,7.5,37.03,9.358823529411763,19.10909090909091,20.095918367346936,13.43029252351347,18.08383971892609,19.56617307016049,Судецветные,Яровая,-4.071468994101707,1.0252511901648198,0.5297452971864445
5638,2024 36.11.06.066.00,Воронеж,Люцерна,2024-05-06,2024-07-01,0.0,3.0,0.0,5.544444444444445,14.321739130434784,20.92,13.107279433905452,15.307487922705311,18.86150860030073,Бобовые,Яровая,-7.562834989461007,-0.9857487922705275,2.058491399699271
5639,2024 36.14.04.040.00,Воронеж,Соя,2024-05-06,2024-08-26,1.752325399982648,2.5,11.920000000000002,9.358823529411763,19.250000000000004,20.176,13.43029252351347,18.164605966565567,19.510329283554032,Бобовые,Яровая,-4.071468994101707,1.0853940334344365,0.6656707164459661
5640,2024 36.14.08.004.00,Воронеж,Кукуруза,2024-05-06,2024-09-01,1.6178085775606368,6.9,27.89,9.672222222222224,19.39166666666667,20.386792452830186,13.413794790725683,18.37122849912398,19.29468937240538,Судецветные,Яровая,-3.741572568503459,1.0204381675426895,1.0921030804248062
5641,2024 36.14.14.007.00,Воронеж,Соя,2024-05-06,2024-09-11,0.9493385859203555,2.5,3.96,9.7,20.154901960784315,19.413793103448267,13.40806571815718,18.7985694847431,18.31609023568991,Бобовые,Яровая,-3.7080657181571812,1.3563324760412137,1.0977028677583576
5642,2024 36.14.14.008.00,Воронеж,Соя,2024-05-06,2024-09-11,1.0094167098636389,2.5,4.36,9.7,20.154901960784315,19.413793103448267,13.40806571815718,18.7985694847431,18.31609023568991,Бобовые,Яровая,-3.7080657181571812,1.3563324760412137,1.0977028677583576
