field,region,land_type,fertility_score,season,crop,crop_predecessor,area,hybrid,seed_origin,technology,yield_plan,p2o5,k2o,humus,ph,soil,key,yield_plan_full
62.17.13.063.00,Рязань,пашня,4.0,2024,Чечевица зеленая,"Залежь, лес",90.18,Кермит,Свои,классическая с плугом,1.9,0.0,0.0,0.0,0.0,Серые лесные,"(2024, '62.17.13.063.00')",0.5
62.17.13.065.00,Рязань,пашня,4.0,2024,Подсолнечник,"Залежь, лес",99.6,ЛГ 59580,Покупные,минимальная,2.5,0.0,0.0,0.0,0.0,Серые лесные,"(2024, '62.17.13.065.00')",0.75
62.10.02.002.00,Рязань,пашня,2.0,2024,Чечевица красная,"Залежь, лес",84.0,Рэдкот,Свои,минимальная,2.0,6.04,164.02,92.4,1.91,Серые лесные,"(2024, '62.10.02.002.00')",0.5
62.10.02.003.00,Рязань,пашня,2.0,2024,Чечевица зеленая,"Залежь, лес",120.24,Кермит,Свои,минимальная,2.0,5.74,155.65,5.61,2.54,Серые лесные,"(2024, '62.10.02.003.00')",0.75
62.10.02.004.00,Рязань,пашня,2.0,2024,Чечевица красная,"Залежь, лес",33.22,Рэдкот,Свои,минимальная,2.0,6.19,217.53,36.54,2.2,Серые лесные,"(2024, '62.10.02.004.00')",0.25
62.10.02.005.00,Рязань,пашня,2.0,2024,Чечевица красная,"Залежь, лес",40.96,Рэдкот,Свои,минимальная,2.0,5.59,86.46,45.06,1.98,Серые лесные,"(2024, '62.10.02.005.00')",0.25
62.10.02.006.01,Рязань,пашня,2.0,2024,Чечевица красная,"Залежь, лес",81.0,Рэдкот,Свои,минимальная,2.0,6.04,121.55,91.31,2.17,Серые лесные,"(2024, '62.10.02.006.01')",0.5
62.10.02.006.02,Рязань,пашня,2.0,2024,Пар,"Залежь, лес",2.02,(нет сорта),Покупные,минимальная,2.0,6.04,121.55,91.31,2.17,Серые лесные,"(2024, '62.10.02.006.02')",1.0
62.10.02.007.00,Рязань,пашня,3.0,2024,"Залежь, лес","Залежь, лес",205.39,(нет сорта),Покупные,минимальная,2.0,0.0,0.0,0.0,0.0,Серые лесные,"(2024, '62.10.02.007.00')",1.0
62.10.02.008.00,Рязань,пашня,2.0,2024,Кукуруза силос,"Залежь, лес",53.3,Галифакс,Покупные,минимальная,8.0,5.39,103.77,58.63,1.54,Серые лесные,"(2024, '62.10.02.008.00')",0.75
