,field_id,region,crop,end_sev,end_sbor,yield_dif,yield_plan,yield_fact,curr_t1,curr_t2,curr_t3,curr_t4,40_years_t1,40_years_t2,40_years_t3,40_years_t4
3131,2023 36.14.16.009.00,Воронеж,Кукуруза зерно,2023-05-22,2023-11-14,6.913580246913579,6.48,44.8,17.677272727272726,21.761363636363644,14.82272727272728,7.263636363636362,18.202486638612726,20.055937132437673,14.23966386187938,5.237696459870346
3132,2023 36.14.16.016.00,Воронеж,Кукуруза зерно,2023-05-21,2023-11-05,3.003086419753086,6.48,19.46,17.96428571428571,21.90476190476191,16.109523809523814,8.788095238095238,18.066500838817916,20.12349697679782,15.221924450376058,7.304583568913821
3133,2023 36.14.16.017.00,Воронеж,Кукуруза зерно,2023-05-20,2023-11-05,2.5200617283950613,6.48,16.33,18.00714285714286,21.42142857142857,16.416666666666668,8.742857142857144,17.961601163220173,20.03947966715694,15.492186826227163,7.5797051103857935
3134,2023 36.14.16.018.00,Воронеж,Кукуруза зерно,2023-05-20,2023-11-04,2.2175925925925926,6.48,14.370000000000001,18.00714285714286,21.42142857142857,16.416666666666668,8.742857142857144,17.961601163220173,20.03947966715694,15.492186826227163,7.5797051103857935
3135,2023 36.14.16.019.00,Воронеж,Кукуруза зерно,2023-05-20,2023-11-05,3.1944444444444446,6.48,20.700000000000003,18.00714285714286,21.42142857142857,16.416666666666668,8.742857142857144,17.961601163220173,20.03947966715694,15.492186826227163,7.5797051103857935
3136,2023 36.14.16.021.00,Воронеж,Кукуруза зерно,2023-05-20,2023-11-05,3.1682098765432096,6.48,20.53,18.00714285714286,21.42142857142857,16.416666666666668,8.742857142857144,17.961601163220173,20.03947966715694,15.492186826227163,7.5797051103857935
3137,2023 36.14.16.029.00,Воронеж,Кукуруза зерно,2023-05-20,2023-11-04,2.0478395061728394,6.48,13.27,18.00714285714286,21.42142857142857,16.416666666666668,8.742857142857144,17.961601163220173,20.03947966715694,15.492186826227163,7.5797051103857935
3138,2023 36.14.16.030.00,Воронеж,Кукуруза зерно,2023-05-20,2023-11-04,1.7098765432098764,6.48,11.08,18.00714285714286,21.42142857142857,16.416666666666668,8.742857142857144,17.961601163220173,20.03947966715694,15.492186826227163,7.5797051103857935
3139,2023 36.14.21.002.00,Воронеж,Кукуруза силос,2023-05-20,2023-09-02,1.212,7.5,9.09,17.880769230769232,20.35,20.74230769230769,18.915384615384614,16.625072962268085,20.293998633740085,20.119155494796967,18.172095574648928
3140,2023 36.14.21.003.00,Воронеж,Кукуруза силос,2023-05-21,2023-09-02,2.452,7.5,18.39,17.553846153846152,20.77692307692308,21.11923076923077,18.62307692307692,16.74158328121743,20.385024813895782,20.243496777350067,18.013588363702688
