index,field_id,region,crop,end_sev,end_sbor,yield_dif,yield_plan,yield_fact,curr_t1,curr_t2,curr_t3,curr_t4,40_years_t1,40_years_t2,40_years_t3,40_years_t4,culture,type_by_season,delta_t1,delta_t2,delta_t3,delta_t4,dif_1,dif_2,dif_3,dif_4
4199,2024 36.02.03.044.00,Воронеж,Кукуруза,2024-04-21,2024-08-16,2.179337716782764,8.9,69.77999999999999,12.206896551724135,18.19310344827586,20.93448275862069,19.92068965517241,10.53476310625175,16.977048420670435,19.73530377210752,19.58113367111268,Судецветные,Яровая,1.6721334454723848,1.2160550276054245,1.199178986513168,0.33955598405972864,-7.319512195121952,-8.08292682926829,-7.417073170731703,-4.366666666666664
4200,2024 36.02.03.048.00,Воронеж,Кукуруза,2024-04-20,2024-10-11,0.8610799999018005,7.0,9.56,13.193023255813957,20.083720930232555,20.090697674418607,16.552325581395348,12.073657337098505,18.8304898287225,19.54992874592909,13.653687627838227,Судецветные,Яровая,1.1193659187154523,1.2532311015100568,0.5407689284895163,2.8986379535571203,-7.346341463414634,-7.234146341463418,-6.697560975609759,-1.5666666666666664
4201,2024 36.02.06.034.00,Воронеж,Подсолнечник,2024-04-20,2024-09-24,0.8586616190375187,2.0,2.72,12.361538461538464,20.16923076923077,20.343589743589742,18.41410256410257,11.661279619206448,18.191035235917013,19.94024108204134,15.866658438670632,Астровые,Яровая,0.7002588423320155,1.9781955333137553,0.403348661548403,2.547444125431939,-7.346341463414634,-7.234146341463418,-4.366666666666664,-6.697560975609759
4202,2024 36.02.06.036.00,Воронеж,Подсолнечник,2024-04-21,2024-09-24,0.56815069038526,2.0,1.53,12.407692307692306,20.717948717948723,20.43846153846153,18.05384615384616,11.857681884511152,18.460867265298923,19.818153805474036,15.6491856692314,Астровые,Яровая,0.5500104231811545,2.2570814526497998,0.6203077329874951,2.404660484614759,-8.08292682926829,-7.417073170731703,-4.366666666666664,-6.697560975609759
4203,2024 36.02.11.034.00,Воронеж,Кукуруза,2024-04-22,2024-08-27,1.3871367028796504,8.9,26.73,11.7375,19.89375,21.765625,19.2625,10.951816565040652,17.709314108658962,19.92768139047817,18.95524990780234,Судецветные,Яровая,0.7856834349593491,2.184435891341039,1.8379436095218296,0.3072500921976591,-8.575,-8.565853658536586,-5.819512195121956,-5.10243902439025
4204,2024 36.02.16.001.00,Воронеж,Кукуруза,2024-04-21,2024-09-04,1.9041179140735258,8.9,50.85,12.4,19.03235294117647,21.735294117647054,19.37647058823529,11.093854615016738,17.8744493882189,19.90730497546156,18.948961480372915,Судецветные,Яровая,1.306145384983262,1.1579035529575705,1.8279891421854941,0.42750910786237384,-7.319512195121952,-8.08292682926829,-7.417073170731703,-6.697560975609759
4205,2024 36.02.16.010.00,Воронеж,Кукуруза,2024-04-22,2024-10-02,0.9248256343239923,7.0,10.65,12.53658536585366,21.585365853658537,19.88536585365853,16.82073170731708,12.239430894308944,18.82312382160044,19.378596963986265,14.394397762575185,Судецветные,Яровая,0.29715447154471697,2.762242032058097,0.5067688896722657,2.426333944741895,-8.575,-5.819512195121956,-5.10243902439025,-3.921951219512197
4206,2024 36.02.19.019.01,Воронеж,Люцерна,2024-04-20,2024-07-05,0.5325871155475034,3.0,2.11,11.884210526315789,12.805263157894736,20.18947368421053,19.421052631578945,9.157449008700617,13.811339323919556,17.368479298243233,18.83785618600748,Бобовые,Яровая,2.726761517615172,-1.0060761660248208,2.820994385967296,0.5831964455714669,-7.075609756097565,-7.346341463414634,-5.382926829268293,-7.234146341463418
4207,2024 36.02.19.079.00,Воронеж,Кукуруза,2024-04-20,2024-08-16,0.5114920683091512,9.0,6.01,12.20689655172414,17.92413793103448,20.13793103448276,20.027586206896554,10.33892860480329,16.674829811655805,19.568168794089612,19.79023169906148,Судецветные,Яровая,1.8679679469208512,1.249308119378675,0.5697622403931497,0.23735450783507517,-7.075609756097565,-7.346341463414634,-7.234146341463418,-4.366666666666664
4208,2024 36.02.19.088.00,Воронеж,Кукуруза,2024-04-20,2024-08-15,0.5871691903533244,9.0,7.19,12.20689655172414,17.92413793103448,20.13793103448276,20.027586206896554,10.33892860480329,16.674829811655805,19.568168794089612,19.79023169906148,Судецветные,Яровая,1.8679679469208512,1.249308119378675,0.5697622403931497,0.23735450783507517,-7.075609756097565,-7.346341463414634,-7.234146341463418,-4.366666666666664
