,field,region,land_type,fertility_score,season,crop,crop_predecessor,crop_yearold,area,hybrid,reproduction,seed_origin,technology,yield_plan,p2o5,k2o,humus,ph,yield_plan_full
5048,36.05.07.068.00,Воронеж,пашня,4.0,2023,Люцерна 1 г.ж.корм,Кукуруза силос,1.0,40.47,Дакота,РС-3,Свои,классическая с плугом,3.0,145.2,185.9,5.83,7.26,121.41
5049,36.05.07.069.00,Воронеж,пашня,5.0,2023,Люцерна 1 г.ж.корм,Кукуруза силос,1.0,15.46,Дакота,РС-3,Свои,минимальная,3.0,143.0,163.9,6.38,6.82,46.38
5050,36.05.07.070.00,Воронеж,пашня,4.0,2023,Люцерна пр.лет корм,Кукуруза силос,2.0,74.37,Дакота,РС-2,Свои,минимальная,5.4,115.5,112.2,5.94,7.15,401.59800000000007
5051,36.05.07.071.00,Воронеж,пашня,5.0,2023,Люцерна 1 г.ж.корм,Кукуруза силос,1.0,67.81,Дакота,РС-3,Свои,минимальная,3.0,140.8,149.6,6.16,6.82,203.43
5052,36.05.07.072.00,Воронеж,пашня,5.0,2023,Люцерна 1 г.ж.корм,Кукуруза силос,1.0,100.14,Дакота,РС-3,Свои,минимальная,3.0,192.5,144.1,6.38,6.49,300.42
5053,36.05.07.073.01,Воронеж,пашня,5.0,2023,Люцерна пр.лет корм,Кукуруза силос,2.0,72.36,Дакота,РС-2,Свои,минимальная,5.4,155.1,203.5,6.38,6.49,390.744
5054,36.05.07.073.02,Воронеж,пашня,5.0,2023,Одн.тр.суданская тр.корм.,Кукуруза силос,0.0,6.0,Кинельская 100,РСт,Свои,минимальная,2.46,155.1,203.5,6.38,6.49,14.76
5055,36.05.07.074.01,Воронеж,пашня,5.0,2023,Кукуруза зерно,Кукуруза силос,0.0,25.78,Галифакс,F1,Покупные,минимальная,6.5,147.4,154.0,6.05,6.71,167.57
5056,36.05.07.074.02,Воронеж,пашня,5.0,2023,Кукуруза силос,Кукуруза силос,0.0,15.0,Галифакс,F1,Покупные,минимальная,7.5,147.4,154.0,6.05,6.71,112.5
5057,36.05.07.076.00,Воронеж,пашня,3.0,2023,Люцерна 1 г.ж.корм,Кукуруза силос,1.0,129.5,Артемида,РС-2,Покупные,минимальная,3.0,100.65,123.75,6.55,6.71,388.5
5058,36.05.07.077.01,Воронеж,пашня,4.0,2023,Оз.тритикале,Кукуруза силос,0.0,48.0,Смесь сортов,ЭС,Свои,минимальная,4.3,115.5,190.3,6.16,6.82,206.39999999999998
5059,36.05.07.077.02,Воронеж,пашня,4.0,2023,Одн.тр(оз.тритикале+оз.вика) корм,Кукуруза силос,0.0,25.18,Вика озимая,РС-2,Покупные,минимальная,4.1,115.5,190.3,6.16,6.82,103.23799999999999
5060,36.05.07.077.03,Воронеж,пашня,4.0,2023,Одн.тр.овёс корм,Кукуруза силос,0.0,30.0,Макс,РС-1,Свои,минимальная,2.3,115.5,190.3,6.16,6.82,69.0
5061,36.05.07.078.01,Воронеж,пашня,5.0,2023,Оз.тритикале,Кукуруза силос,0.0,79.08,Торнадо,ЭС,Свои,минимальная,4.3,150.7,173.8,6.6,6.93,340.044
